código_do_plano_de_contas;código_do_período;início;fim;anterior;débito;crédito;atual;movimento;ukey;descrição_do_plano_de_contas;código_auxiliar;períodos_contábeis;tipo_de_período;tipo;origem
"1";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;24342020,960000;97710781,420000;105407584,670000;16645217,710000;"M";"20171004OK5TX00OQRJZ";"ATIVO";"1";"20250228PHYYBI0QZJ3T";1;1;1
"11";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;12213016,210000;97443226,510000;104774745,540000;4881497,180000;"M";"20171004OK5TX00OQZ9E";"ATIVO CIRCULANTE";"2";"20250228PHYYBI0QZJ3T";1;1;1
"1101";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;7305989,100000;73099379,000000;76225988,710000;4179379,390000;"M";"20171004OK5TX00OQZ9F";"DISPONÍVEL";"3";"20250228PHYYBI0QZJ3T";1;1;1
"110101";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;41471,530000;2165105,700000;2134849,760000;71727,470000;"M";"20171004OK5TX00OQZ9G";"NUMERÁRIOS EM CAIXA";"4";"20250228PHYYBI0QZJ3T";1;1;1
"1101010001";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;17347,160000;2165105,700000;2134849,760000;47603,100000;"M";"20171004OK5TX00OQZ9H";"CAIXA REAL";"5";"20250228PHYYBI0QZJ3T";1;2;1
"1101010002";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZ9I";"CAIXA DOLAR";"6";"20250228PHYYBI0QZJ3T";1;2;1
"1101010003";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZ9J";"CAIXA EURO";"7";"20250228PHYYBI0QZJ3T";1;2;1
"1101010004";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZ9K";"CAIXA LIBRA";"8";"20250228PHYYBI0QZJ3T";1;2;1
"1101010005";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZ9L";"CAIXA USD";"9";"20250228PHYYBI0QZJ3T";1;2;1
"1101010006";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZ9M";"CAIXA FILIAL";"10";"20250228PHYYBI0QZJ3T";1;2;1
"1101010007";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;24124,370000;0,000000;0,000000;24124,370000;"M";"20171004OK5TX00OQZ9N";"CAIXA DE OPERAÇÕES";"11";"20250228PHYYBI0QZJ3T";1;2;1
"1101010008";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZ9O";"CAIXA REAL";"12";"20250228PHYYBI0QZJ3T";1;2;1
"1101010009";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZ9P";"CAIXA FORTALEZA";"13";"20250228PHYYBI0QZJ3T";1;2;1
